"",PARAGRAPHS
1321,1 It comes with TWO batteries not one They advertise this fact claiming two rechargeable batteries that deliver up to 120 minutes of uninterrupted cleaning And the  represents the caveats of usage...
1322,2 One of the included attachments here is the terribly named Power Mop Nozzle  even the image on the box is unimpressive But its actually amazing It is a replacement head for the primary vacuuming...
1323,3 Kompressor™ technology  a term I do not like that describes an action that I love The debris receiving reservoir is quite small on this vacuum as it is on all cordless stick vacuums  and even so...
1324,4 I know this is a goofy detail but there is NO assumption here that you want to install any part of this system on a wall Every part fits on a very compact and welldesigned stand The battery in t...
1325,5 The final detail that is amazing for me is the telescoping wand the stick part of this stick vacuum Basically the part that runs between the motor and the end of the vacuum can be extended by ab...
1326,This vacuum is doing everything it can to stand out in a very competitive field
1327,VERY highly recommended
1328,Great vac but Its been great so far But its only been a few weeks Ive owned a Dyson stick vac and that was great too except the attachments would eventually become loose over time Which i didnt ap...
1329,Overall Happy with LG Cordless lighter than competitor brand and suction is powerful bit of downside is the battery time if you put in on turbo mode  drains quickly
1330,Cleaning made better Love this vaccum dont regret spending so much on this product The only reason i wont put 5 stars is due to the fact that it doesnt pick up larger pieces which is no real issue...
1331,Great vacuum cleaner This is a nice vacuum The battery life is excellent The wet vacuum function works well as well as the dry mode I also love the build quality of the vacuum cleaner The weight i...
1332,Great product but requires a lot of effort As a longtime reviewer of many products for Best Buy I have read tons of owner’s manuals assembled many appliances and figured out how to use new product...
1333,Despite those challenges here are the aspects I have fallen in love with
1334,\n• The charging station is such an asset It can go almost anywhere and even be hidden from view yet still conveniently located You know you places the product on the charging station correctly wh...
1335,• The accessories make any cleanup job a breeze from cleaning the floor to your car to curtains and furniture with the combo tool and the crevice too
1336,• The ability to store the nozzles and the cleaning tools in the charging station and nozzle storage cradle means these items don’t get dirty on the floor of the hall closet or lost under other st...
1337,• Adjusting the extension pipe is great for a taller person and it means there isn’t another longer piece of pipe to add on or keep track of
1338,• Being able to adjust the suction power of the vacuum let’s you pick up bigger messes or go faster to clean I primarily use the turbo mode even though that uses up more battery power
1339,• The power of the vacuum is incredible It even picks up pet hair really well from carpets This is the cleanest I have ever seen my rugs and floor
1340,• Most of my floors are hardwood so being able to use low mode for just a small amount of water being released was great
1341,• I haven’t yet tried cleaning the dust bin or the filters but I like that I can clean the filters with water and it comes with a cleaning brush to clean the cyclonic mesh filter
1342,• The two batteries translate to a long battery run time which is perfect if you want to clean the entire house in one session and not have to recharge it every 510 minutes
1343,• While I have used the Kompressor lever to squish down the pet hairdustlint etc I find that dumping it out of the dust bin is super easy
1344,• No cord means no plugging it in detangling yourself or the vacuum It also means you can take it everywhere inside and outside and not have to worry about finding an electrical outlet
1345,• It is fairly light weight yet solid enough that the nozzle isn’t bouncing all over the floor
1346,• There is a nice hard plastic maintenance guide with the main information you need to run clean and troubleshoot the wetdry vacuummop As a bonus there is a suction cup for easy mounting in a spot...
1347,The aspects that are helpful but require more effort
1348,\n• The display on the handle indicates clogged items filter cleaning alerts connection status WiFi indicator and battery charge Four out of five of these display indicators require more indepth r...
1349,• It was nice to not have to purchase specific detergents to use the mop but I question how effective it is to clean with just warm water
1350,• The ThinkQ application didn’t resonate with me so I didn’t connect it I am sure it would be helpful to see the cleaning history frequency time and mode but it didn’t seem as beneficial to me at ...
1351,• The product has many parts that can be cleaned by hand That does mean a lot of attention to put in over time so the product stays in good working order
1352,The downside
1353,\n• I had a tough time figuring out which side of the mop pads had the lines It was even harder to see once I moistened the mop pads
1354,• The mop pads and water tank should be dried completely before storing them The mop pads took about 2 days to dry completely and the water tank about 1 day
1355,I do recommend this product to people This has been the best vacuum I have ever had However I feel compelled to say I would not recommend this for someone who would not take the time to carefully ...
1356,Great vacuum with bestinclass stand Excellent suction good battery life outstanding stand Battery lasts surprisingly long even on turbo mode Included second battery is really convenient The stand ...
1357,High hopes but disappointing I had high hopes for this vacuum It did not live up to them Pros  it comes with an extra battery which is pretty helpful Also unlike the Dyson you don’t have to contin...
1358,Awesome vacuum that keeps you Free Very useful and well thought out product Peace of mind and charging with extra battery A mop for wet floor and cordless w make you free from Tangling wires
1359,Worth the price Hesitated on buying because of price but after several weeks of use well worth it Great suction and battery life The second battery is a great feature The wet mop is also a great f...
1360,Expensive but versatile Works well but filter can clog easily and you have to stop and clean
1361,Power quiet and light This is a game changer for all types of messes vacumming without the cord is the best grab and go I still have not recharged the battery and its been in light use everyday fo...
1362,Convenient I should of gotten this a long time ago Lighter than a regular vacuum Makes everything easier for moving around the house
1363,Great stick vacuum This is great Best Buy had them on sale so it was even better Great battery life Works on carpet and hardwood floors LG is a top rated brand so you know it’s go it to work and b...
1364,Amazing Good job is excellent vacumm good cleaning good sound
1365,Amazing product but expensive Product does everything it says it will do is read only quiet and the extraswappable battery really helps when turbo mode is needed for more than a few minutes
1366,Lightweight vacuum with nice extras LGs foray into stick vac territory is a success with the CordZero wetdry stick vacuum Featurerich and simple to use this device takes on both carpeted and hard ...
1367,The CordZero comes completely disassembled and while the instructions arent the greatest read everything pieces together in a simple logical manner The cord vac has a beautiful burgundywine color ...
1368,LGs vacuum is lightweight with an adjustable stick tube The stick vac stores small but when in use you may extend the tube to a much longer full length There are two power settings Normal and Turb...
1369,The vacuum has good range of motion for twisting to hard to reach areas I did find some sticking issues while turning corners with the vacuum on carpeting having to labor a bit to get the vacuum t...
1370,Lastly the CordZero has smarthome capabilities connecting to your home WiFi and allowing you to track your cleaning history or run system diagnostics from the free LG app I didnt find this functio...
1371,LGs CordZero is a solid vacuum option for all household environments From carpeted to woodflooring and tile this stick vac can adapt to your cleaning needs Despite some small issues the CordZeros ...
1372,Full disclosure I received this product for my honest unbiased review
1373,LG Review Better than our Dyson Lighter and easier to empty Enough of a charge to clean the entire house Very happy with this purchase
1374,Amazing I use it to clean everything Car blinds furniture all the vents in the house even the one I couldnt reach before I can clean easily Obviously cleans the hardwood and carpets beautifully
1375,Went Back I really wanted to love this vac It has so much technology in it that I truly thought it was going to work for me When its running its making a very annoying noise the suction needs to i...
1376,Good battery life Seems to work well and have plenty of life Works equally well on hard surfaces as it does on carpet
1377,Ron Light weight Powerful when you hit the boost button Easily recharges Small container for collection Would recommend
1378,Better then Dyson It is what has been expected Suction is good for a cordless vacuum and very easy to use
1379,Best Vacuum Bought to mop the floor Easy to clean and well made\nIf you are looking for Vacuum that can be use for everything this is the one
1380,Love it This is a great vacuum It’s been so easy to use
1381,Vacuum Very easy to use but the mop was not as I expected
1382,Nice Easy to handle more for my mother because is not to heavy
1383,almost there When i saw it i had to have it I am in the middle of a divorce and got both dogs The new home has bright white high polished floors With the dogs grey hair i was vacuuming and moping ...
1384,Good LG Vac Good vacuum cleaner with mops It is very smooth on carpets but on bare floors it has some noisy revving sound Hope this could be silenced too in the future
1385,Vacuum Great product Quite and easy to operate Also storage is very good as it doesn’t require to drill the wall
1386,Impressive Stick Vacuum with mop action LG CordZero A9 WetDry CordFree Stick Vacuum with Kompressor Technology
1387,This is a very nice stick vacuum It is light and easy to use It comes with 2 batteries The run time is approximately 8 to 34 minutes dependent on the vacuum mode and if using a powered attachment ...
1388,The units vacuum works in Normal mode Power mode and Turbo mode for those difficult cleaning areas The Powerhead is a powered rotating brush that picks up hair while not clogging the brush The Pow...
1389,I found the vacuum to be extremely quiet in all modes other than Turbo – but you have to expect some noise if you kick it into turbo mode so I wasn’t surprised The mop head is also very quire It i...
1390,The app from LG is a little behind the times requiring 24ghz band and doesn’t even understand WiFi 6 and the ability to select the correct signal and frequency to use So no I didn’t load the app w...
1391,Great purchase Great battery life And helps me a lot in my 3000 square foot house
1392,Good The accessories fit together super easy The extension tube can be extended to 3 different positions which makes it comfortable to use
1393,Super Sweeper Love the vacuum Lightweight easy to assemble like the removable attachment
1394,Wellthoughtout design I have a lot of cats and a lot of vacuums that I use to battle the hair and tracked litter I think this stick vacuum will become the most used in the arsenal for several reas...
1395,Second the run time on the two batteries At the normal setting I can hit all the main traffic areas in my 2500 sqft house on the first battery But if I need it the second battery is sitting in the...
1396,Though Kompressor sounds maybe slightly evil or something its really a simple effective addition to the usual dustbin in a handheld cordless Its a lever you push that slides a ring down the inside...
1397,Now for a couple of things Im not crazy about but others may think theyre more useful One is the WiFi connection and the app I could see if you had other LG products it might make sense to add it ...
1398,Another thing is the wet mop head Its really a slick design with the way theyve incorporated the water tank in the head But the mop is essentially two terry cloth pads that buff your floor I teste...
1399,The only other feature I wish it had was the ability to turn off the roller brush when youre on hard floors It works fantastic on carpet and rugs but it does tend to fling litter or bits of food a...
1400,At any rate Im loving the design of this vacuum The charging stand is sturdy and works great to hold every tool and attachment that came with it which is not always the case with others The batter...
1401,just ok Im disappointed I thought the suction would be much stronger than what it is Do like the dual battery system Overall is just ok and overpriced
1402,Exactly what I needed First thought while opening this box was “Wow there’s a lot of pieces to this puzzle”
1403,In reality though it only took about 5 minutes to put it all together I lost another 5 minutes by not sliding the pad holder down the charging station tube before putting the charging station on t...
1404,This thing is a work of art just sitting there So neat and tidy So much to it but it barely takes more space than a standard old school vacuum if it even does The grab and go ability of this is re...
1405,Its great not having to hold a trigger the whole time vacuuming Very comfortable to use
1406,Having 2 batteries is very nice And having them both able to be charging at the same time is such a great addition
1407,My biggest test with any vacuum is cat litter While it doesn’t sound as powerful as other vacuums it does the job very well Power mode seemed to work the best as Turbo mode really drains the batte...
1408,The Kompressor feature really comes in handy when you don’t want to dump the canister and you’re almost done That was a great idea
1409,Love the telescoping wand Sure beats having to add and remove extensions Just push the button and slide
1410,The wifi feature is pretty cool You can look right on your phone to see if it’s fully charged and track usage
1411,The hardwood floor cleaning pads work well but they just don’t seem to spin fast enough Definitely takes longer to clean the floor than using a standard mop It does work as I can see stains slowly...
1412,Overall it’s a very nice vacuum and does all you need The attachments all work well with it
1413,Very pleased with this
1414,Not worth the price Purchased this hoping to replace my Dyson vacuum and Bissell Spin Wave mop I was let down The mopping capabilities were slow and ineffective The vacuum lacked power and didn’t ...
1415,Vacuummop I was very excited to use this vacuum you get 2 for 1 vacuum and mop First thing I love about this vacuum is the convenience and easy storage Vacuum is lightweight so easy to carry aroun...
1416,A truly nice vacuummop combo unit The LG cord zero wetdry vacuum may look a little odd with the large canister but inside that canister is a very powerful motor and a large storage area for all of...
1417,Expensive product with poor delivery I bought this for the mop and vacuum feature bu the mop is useless and the vacuum suction is weak
1418,It makes cleaning convenient LG  CordZero A9
1419,I have the previous generation CordZero and emptying the canister is gross Doesn’t take much to fill it either With the Kompressor Technology clearing the canister is a lot less gross During clean...
1420,This CordZero A9 has interchangeable accessories with the previous CordZero including the charging stand The accessories has not changed This new A9 makes a chime noise when installed on the charg...
1421,It comes with two rechargeable lithiumion batteries that can be simultaneously charged in 35 hours in the docking station giving you up to 120 minutes of runtime compared to the 80 minutes from th...
1422,The upgraded inverter motor is up to 200AW Air Watts compared to 140AW from the previous model and you can tell the difference I like using this with the telescoping wand and the crevice or the co...
1423,It has a five stage HEPA filtration system that cleans the air coming from vacuum and according to LG it filters out 9999 of dust and dirt All the filters are washable including the cyclone system...
1424,I like the docking station It charges both batteries at the same time it has storage for the unit and its tools and you have multiple ways to install it You can mount it on the wall selfstanding o...
1425,Overall I like this vacuum As like my old CordZero I like the convenience factor of this unit most of all It makes maintenance and everyday cleaning a breeze especially with the added mop nozzle I...
1426,Not great for a lot of dog hair This vacuum is not compatible with pet hair It clogs too often and just cant keep up with hair from two dogs I would only recommend this vacuum for a household with...
1427,Vacuum attachment Vacuum attachment stoped functioning properly after a month
1428,Great one This is a great vacuum with a mop It works very well
1429,Like to clean Great reliable product Works well and very easy to to use
1430,Very cool Vacuum LG  CordZero A9 WetDry is pretty cool way to clear honey do list I love the vacuum option but the mop has to grow on me It works but kind of tedious for small spills I love the Ko...
1431,Best vaumm Its a beast ever one should get one for for the pirce is cheap
1432,A Great Design First off LG has done a wonderful design with this vacuum cleaner I especially love its color as it brings a different perspective to cleaning technology The performance of this vac...
1433,not sure about pet hair I just received my LG A9 S fairly easy to set up Waited 24 hrs for batteries to be fully charged Within 20 minuets there was a problem with clogging I have a shiba Inu so h...
1434,The best vacuum ever I researched a ton before I bought this vacuum because I have wasted a TON of money on vacuums This was awesome straight out of the box It cleaned my rug better that my vacuum...
1435,Quiet effective vacuum Hubby wanted a cordless vacuum after he saw a similar brand at double the price I read the reviews and found this LG which met all the things we wanted Lightweight but with ...
1436,Lightweight and works great Great lightweight vacuum with plenty of suction power on first level speed Battery lasts long and even has back up battery Ive never had to use it in my 1400 sq ft all ...
1437,bought for my adult daughter My daughter is 23 and wants to start collecting things for her own place and she needed a vaccuum at her dads She has mostly tile but says all of her dads appliances a...
1438,Best Amazon purchase I’ve made This is the best purchase I’ve made I will never go back to a corded vacuum again It’s so lightweight and not as loud as our old vacuum It has great suction on both ...
1439,The best cordless vacuum cleaner This is a great cordless vacuum cleaner Comfortable in the hand balanced powerful long working time The only downside is the packaging There is a catastrophic lack...
1440,Pick up and use in most places I have never wanted to vacuum so much Easy light weight portable I love it Have had for a few months now still works like brand new Love doing to bathrooms instantly
1441,Great Product Love it No cord light weight and easy to use Cleans for over an hour on battery charge
1442,LG Cordless Compressor vacuum poor dust empty This vacuum is ok for light touch up vacuuming After 4months mine stopped working The worst thing is emptying the dust collected It puffs into your fa...
1443,Nice vacuum Works great on are new hard wood floors battery seems to last long enough
1444,Ease of use The vacuum has adequate suction especially on bare floors it is a little difficult to use on carpet though as it is more difficult to pushOverall this is a good vacuum for everyday lig...
1445,Its a spaceship I didnt want to pay the high cost of a Dyson The LG looked great and had a friend who has the same model Im happy with the purchase Getting 2 batteries and the great stand you cant...
1446,very nice vacuum after my first go around with cordless vacuum cleaners i was disillusioned mainly because of the battery charge since i clean houses for a living it was important to look for an e...
1447,Powerful versatile and light weight cordless vacuum This cordless stick vacuum is well designed and versatile Considering the strength of the suction this unit is very quiet It does a great job wi...
1448,It’s a beauty I love how small and easy this vacuum is to use It is also super easy to change the attachments The suction is next level which it better be for that price and the compressor is a ga...
1449,Gets the job done This is my first cordless vacuum I have to say it’s a great convenience as compared to my corded vacuum I really like that it has two batteries I have three stories and one batte...
1450,Its a good vacuum Easy to use easy to clean suck very good and it is mainly made for carpets I did not give it 5 stars just because I think battery should last longer at full power and also it is ...
1451,Read the description Very complex machine Wifi compatible for a vacuum
1452,Tiny bin constant obstruction died in 10 months NO SUPPORT Lots of hair in household both dog  human Suction particularly on carpet is incredible The downside You can hardly even complete one area...
1453,Very nice cordless vacuum I love the fact that it comes with 2 batteries It is first time to use a cordless vacuum I love it
1454,Expensive But Well Built Like the stand which is very handy to use Batteries are very hard to change Dust collector is also hard to open Battery life was the best out there which was a major purch...
1455,removable batteries and modular design the floor in my house is primarily tile hardwood and low pile area carpet works perfect for this environment there is resistance when vacuuming the carpet th...
1456,Nice vacuum Easy to use The extending handle is nice Holds plenty in the dirt bin Like it better than my prior Dyson
1457,Does the job Seems to be highquality battery life is strong and long easy to clean and then holds a lot it has a little compressor Smash down the debris to hold more
1458,Love it Ive tried many vacuum cleanersHowever the price is good and the suction is better then any other ones The shape itself is also pretty and compact designI would recommend to friends and fam...
1459,Only good at getting up extremely small stuff I’m so disappointed in this I love the charger and that it’s freestanding The disappointing part is that the floor attachment housing goes down so low...
1460,I am old and could not figure out how t run it and use all tools General house cleaning Carpets
1461,Great choice Love this vacuum  use it all the time It fits behind a chair in the dining room We have two dogs and it works great I am easily able to get in a daily vacuum
1462,What’s not to love Had to replace my old Dyson  just wear and tear over the years plus my housekeeper likely drops now and then this one is much improved and was a great price Love my Dyson
1463,Wouldn’t work in less than a month What a disappointment The item wouldn’t work properly after two weeks of cleaning The suction stopped after minutes even though we cleaned all of the filters as ...
1464,Great buy So easy to use for quick vac or long term vac picks up degree and dirt  Love the new feature to push debree down away from air filter Would buy again
1465,Very nice cordless vacuum than Dyson We only used Dyson vacuums but LG cordless A9 vacuum is better than Dyson
1466,Cleans great Cleans effectively and quiet Battery life good Easy to empty container
1467,Makes cleaning fun This is better than my dyson a well down LG
1468,Exceptional value works wonderfully What a Great purchase Extremely handy Has lots of suction Battery life great A welcome addition to our home
1469,Worth it Works great
1470,Lg cordless No suction
1471,Light weight Light weight maneuverability  extra battery good suction
1472,Compressor didn’t work I ordered this for the compressor and the compressor didn’t work and all of the dirt got stock in the top section and wouldn’t come out I’m glad this happened early on so I ...
1473,Vacuum head broke on First day Return has been a nightmare The suction power is mediocre You have to turn the turbo on all the time for it to really vacuumDefinitely not worth the price as it brea...
1474,Wish Id bought the Dyson Poor suction poor battery life LG customer service the worst Ive ever dealt with they run you around in circles and never provide actual customer service I regret buying t...
1475,not worth the cost poor battery charge My LG A9 Kompressor was not worth the 599 The battery both batteries started failing after one month i have owned Bissell Dyson Hoover and Shark and really d...
1476,Not good for dogcat hair at all Has no suction Doesn’t pick up dirt when you pull it backwards Everything just collects and you have to take it off by hand
1477,Best vacuum weve owned Perfect allaround vacuum suction is great with 3 different power settings to cycle through Works on carpet and hardwood Lightweight and the extra battery is an excellent add...
1478,if you got a issue with this thay will not fix it i try for 2 month to get it repair but as of today no repair so sad with lg vac all my outher products are very good
1479,DO NOT BUY if you have a dog that sheds The compression canister is great in theory but horrible in practice DO NOT PURCHASE THIS IF YOU HAVE A DOG THAT SHEDS Pet hair gets stuck in the back of th...
1480,I was shocked cordless and worked better than a corded My son and his wife bought for me two years ago When I opened the box I thought oh I hope they didnt spend to much on this because it is cord...
1481,No headlight The vacuum is well made but a major deficiency is all LG vacuum heads are missing a headlight unlike most other brands Very disappointing
1482,Don’t buy it Bought this vacuum in December 2021 Both batteries failed to charge only after 6 months Waste of money Had to return it for a refund Bought a cheaper one for another vendor for 12900 ...
1483,Buy For Push Out Dirt Button OperationBetter Battery Life but Lament the missing Power Floor Brush I have owned both models the lesser A906SM 906 and this model A927KGMS 927 We purchased the 906 a...
1484,Housekeeper dream vacuum So uhhhhh I’m a cherished housekeeper in my area A household bought this vacuum and claimed it was for stairs “Right” Usually awful and heavy Uhhh no I took this baby arou...
1485,Breaks easily and LG has no parts After the soft roller broke I ordered a replacement part from LG They will ship it free of charge under warranty IF and WHEN they ever get it back in stock It is ...
1486,Hated It My wife got this for my birthday I had asked for the wellknown brand starting with a “D” What a HUGE disappointment It has NO vacuuming power even on turbo The batteries don’t hold a char...
1487,Amazing technology This vacuum is amazing Incredible With two indoor cats I sweep or vacuum daily Now no longer will I be sweeping cat hair around with a broom and watching it fly in the air or st...
1488,Works great Works great
1489,Vacuum with your pinky out Expensive Yes Cleans great Absolutely Did I replace my Dyson with this Sure did
1490,Vacuum is better than the dyson Item itself is awesome and great but Amazon made a mistake on delivery Item came with heavy packaging damage and the box is all crushed LG packaged inside very well...
1491,Great vacuum Broke down and spent the cash and glad I did
1492,Good Good and easy to handle
1493,SO DISAPPOINTED AND ANGRY Okay that said let me explain I hate vacuuming I hate lugging the vacuum through rooms and up and down stairs I hate dealing with the cord getting in the way or unpluggin...
1494,Good Cordless Vacumn Have been using a month now works very good for every day cleaning
1495,lg cordless 0 not a fan of this stick vac i think it is dirty and quite frankly even though there is an expense i would prefer bags instead of taking the dirt device out of the machine emptying ov...
1496,Go CodeZero  its a lifesaver My friend recommended this LG CodeZero vacuum when I got pregnant and oh wow its such a life saver I used to own a corded vacuum cleaner and while it was high quality ...
1497,The turbo mode of this vacuum is super powerful and it sucks up the debris pretty well even from our carpeted area Works great on our hardwood floor as well Batteries die quickly if you do turbo m...
1498,One thing Id wish I had considered is the autoemptying function Its actually quite burdensome to empty the bin every now and then because all the dust flies around I wish I had bought the more exp...
1499,Great features and affordability I bought this on March 2021 and I regularly use this to remove pet hairs on the floor sofa and stairs
1500,Solid performance Have had for over a year now and still works just as good as the day we first got it Great power nice accessories Durable for daily use Two batteries is very nice for those reall...
1501,Works as Advertised but I have been using the vacuum for a while now and find that since it is right there i tend to use it more often than the traditional vacuum Performance is solid and I have n...
1502,This vacuum makes cleaning fun I bought this a couple months ago and it works great I have three kids and crumbs are inevitable but I know that the LG will leave my floors spotless I have two batt...
1503,Reliable and Handy Ive owned this vacuum for a bit over one year and it has operated reliably It is so convenient to pick it up out of the charger for quick jobs I can vacuum 1800 sf of hardwood a...
1504,Excellent for Hardwoods This was bought to aid in a never ending struggle against dust and animal hair It has made cleaning easier and faster since it was bought It’s lightweight and has plenty of...
1505,Great vacuum Have had this vac for a few months and love it Not too heavy for me as an older person easy to maneuver around and under furniture It also has plenty of suction for both tile and for ...
1506,Very convenient always room for improvement Overall a great vacuum I like being able to change the battery and not wait Some of the attachments dont really work as advertised like the thumper Hard...
1507,Other than that I would recommend
1508,Excellent cleaning I received this vacuum two months ago and it is the best purchase I have ever made I have always wanted a cordless stick vacuum but others were very heavy in my hand and made my...
1509,Love the cordless vacuum What a joy to use Love the cordless vacuum What a joy to use
1510,Love chordless flexibility I love that this is so flexible that my husband does the vaccuming now even with the hair from 2 dogs and a cat
1511,Got it as part of an appliance package with washer Got it as part of an appliance package with washer and dryer Better than dyson on carpet Great machine with battery backup
1512,LOVE IT It is so easy to use so LOVE IT It is so easy to use so light weight and flexible I can see why my daughterinlaw has some for each floor Thanks for this great technology
1513,It is quiet and does a good job The It is quiet and does a good job The batteries may be on the older side running out of juice by end of vacuuming the whole house
1514,Great performer performs great on all surfaces would have gotten the 5th star if emptying the cannister was a little cleaner operation
1515,Pretty good cordless vacuum My husband bought this for me when our regular vacuum had to be sent for repairs It does have good suction and comes with great attachments It is pretty light weight an...
1516,Ideal cordless vacuum This vacuum is absolutely perfect It works extremely well on hardsurface floors And the fact that it’s cordless makes it so efficient and easy to use
1517,Powerful Had the vacuum now for about three weeks more powerful than my upright Dyson
1518,LG made my life easier again I dont feel LG made my life easier again I dont feel uneasy vacuuming my stairs anymore thanks to no cord and it is so much less stress on my body because the VAcuum j...
1519,I liked that it did not have any cancer warnings I liked that it did not have any cancer warnings Works really well
1520,Great Vacuum Pros after a month of use
1521,two batteries
1522,lightweight
1523,easy to clean and maintain
1524,good suction
1525,Works good with the included attachment but works even better with the soft roller attachment for our vinyl floor had to purchase separately
1526,Winner awesome vacuum This is an awesome vacuum No cord and love the telescopic wand The turbo feature is a win win on carpet Love love this vacuum
1527,Brush Nozzle stopped rotating in second usage Design of brush nozzle is not good in this model May be it’ is good in higher models
1528,great suction I bought this over a month ago and have been using it multiple times a week now So east to maneuver and I can do my whole place on a full charge at max power
1529,GREAT MACHINE Weve only actually had the Vacuum a little over two weeks since delivery was delayed by almost two weeks But our experience thus far with the unit has been nothing short of phenomena...
1530,The vacuum was very easy to assemble very powerful I’m The vacuum was very easy to assemble very powerful I’m very happy with this product
1531,Love this LG Vacuum I don’t know what I gave done without this vacuum all my life This is so easy to use does NOT hurt my back at all it’s actually fun to vacuum the floors
1532,Great product I love this vacuum It works really well The one issue i have is emptying the bin is not the smoothest process
1533,Great Stick Vacuum Works as it should My wife and I love it Has great suction and versatility My only regrets is not getting one sooner and buying the upgraded model If I could do it over again I ...
1534,Better than I imagined I was looking for a small but powerful handheld vacuum and this is better than I imagined It fits nicely in the hand and can be used with attachments for your specific needs...
1535,LG CordZero A9 Vacuum The vacuum is great for a male to use but its heavy for a small female to use It has some heft to it compared to other models It work great and has great suction
1536,Lightweight but very powerful yet quiet Lightweight but very powerful yet quiet
1537,Move over Dyson We had a Dyson v8 which got about a minute on high suction so I expected the same With the LG it was on maximum suction the entire time it took to thoroughly vacuum my SUV and it h...
1538,Works great love all the options and not having to Works great love all the options and not having to hold my finger on the power button
1539,Quick and easy with plenty of run time I bought this two weeks ago the battery life is great for pet hair it is great but emptying it with the hair you need a pencil or something thin to get it ou...
1540,Love it This vacuum is great It’s quiet and works really well
1541,Love my LG CordZero I have two cats and had nothing but an old dirt devil upright vacuum which died a little while ago Finally pushed myself to shop for a new vacuum A neighbor had bought this uni...
1542,Lighter more powerful and quieter than our previous Dyson  Lighter more powerful and quieter than our previous Dyson 10 yr warranty to boot Goodbye Dyson and your terrible trigger assembly design
1543,Last only 1015 minutes on LOW I purchased this 2 months ago and have tried changing batteries cleaning air filters and still not able to vacuum more than 15 minutes on low
1544,Item is being returned
1545,Excellent product My wife loves the convenience of going cordless She absolutely loves this product
1546,power brush broke nice design otherwise Would be a great vacuum if I did not have quality concerns The design is attractive and the included stand keeps this stored conveniently There is an extra ...
1547,Works great I purchase this because it was a little less expensive than other brands on the market thinking I’ll just use it until I can afford the one I really wanted To my surprise this vacuum i...
1548,Light and Powerful  Easy to use Ive had the A905RM for a month now and the device works amazing Even my 80 year old mother can use it So easy to use and easy to clean So lightweight and powerful
1549,Easy to use and handy Works as expected for our 1650 sf home The only disappointment was that it didnt come with a hardwood floor attachment since our home is all hardwood There was dandy pet atta...
1550,I love this Vac This by far exceeded my expectations The suction power is awesome while still being lightweight I love that its so easy to use It comes with this nifty basecharging station which h...
1551,Easy to use I am happy with the choice I made with the LG I initially saw this product at our son’s house and asked him about the Cord Zero I like the fact that you do not have to hold the trigger...
1552,Very powerful I can not deny how overlooked the LG vacuum is With so many brands on the market I did not even know LG made a vacuum With that being said this machine has exceeded my expectations a...
1553,Suction is good but changing parts is inconvenient when its Suction is good but changing parts is inconvenient when its on the rug is another part cleaning is also another part complaining about d...
1554,Ultimate lite vacuuming Had about 3weeks this thing is awesome I can vac entire house on power mode and not use up two the batteries
1555,Has everything I need This unit is compact but still has all the attachments that a person would need for all types of cleaning jobs Also like how easy it is to switch from one tool to the next 2 ...
1556,Great to have Lightweight easy to switch out attachements strong suction
1557,Great vacuum I have owned a couple of different vacuums in the past and this one is by far the best Love the suction and picks up hair great on my carpet
1558,Love It…Love It…Light Powerful and Cordless Been using this vacuum for a couple of weeks So easy to assemble Has all the different tools you’ll need and so easy to use Light and cordless
1559,Gone through 2 heads Bought this just over a year ago and initially it worked wonderfully However after a few weeks an odd grinding sound started coming from the rotating head After having it for ...
1560,Performs well Reduces vacuum time with less setup no Performs well Reduces vacuum time with less setup no cord or hose
1561,Battery doesn’t last as long as they say But you Battery doesn’t last as long as they say But you do have two batteries If you turn on turbo your lucky fir maybe 1015 minutes I will say the result...
1562,LGs Cordless Stick Vac Overall an excellent Cordless Stick Vac Well made and easy to use This model arrived in excellent packaging well designed box with a complete set of attachments The only des...
1563,Amazing vacuu I bought this vacuum about 3 weeks ago and I have 2 dogs a cat and 4 kids and it works miracles in my house  No dust thanks to the heap filter  Easy clean up and assemble I absolutel...
1564,This thing is crazy good We are extremely happy to This thing is crazy good We are extremely happy to have this in our home
1565,Better than expected Surprisingly powerful Battery life is good
1566,Universal adaptability Purchased this vacuum after using my sister in laws
1567,Attachments are perfect Battery charges quickly and lasts through any cleaning tasks
1568,The ability to switch between carpet and laminate flooring is effortless
1569,Recommended for maintenance cleaning I would not recommend this product for heavy duty or deep cleaning  it is perfect for light or maintenance cleaning  otherwise the canister and filters become ...
1570,Best house application Best valued cordless vacuum in the market  Beats the price and quality of all other competitors
1571,great machine  save time I love this machine excepted battery is hard for me  I am 74 years old to change them
1572,my hand is not strong  please help
1573,love the Red color Love the suction and pickup of this product Picked it for its color
1574,So handy Love this thing Very happy I got it great for quick cleanups in between monster vacuuming Easy to change the attachments and although cleaning the reservoir could be a bit messy it’s real...
1575,Better than expected I actually really like this vacuum It is a lot tougher than you think Its light weight has great accesories and has been so convenient around the house My husband even mention...
1576,Worst Vacuum This is by far the worst vacuum I’ve ever owned It gets clogged extremely easily we spend most of our time trying to unclog it with a tool of some sort Also on more than one occasion ...
1577,Dont get rid of the cord yet The cordless vacuum works but has limited use in some modes
1578,So far so good Runs great and the battery runs So far so good Runs great and the battery runs for a long time
1579,works great The storage tower is great but it doesnt works great The storage tower is great but it doesnt hole all the attachments motorized
1580,Light and Effective The machine is great for vacuuming furniture tile floor and rugs Its light and powerful
